record_id,narrative,task_detail,stratum,overhead_task,roof_access,user_interface,inspection,light_manipulation,heavy_force,cleaning,moving_material,indoor_task,outdoor_task,tool_in_hand,vehicle_access,other
2019054713.0,"An employee was installing a downspout from a ladder. The ladder was leaning on the side wall of a two-story house. The employee dropped the downspout and tried to catch it with his foot. The employee lost balance and tried to get his foot on the ladder, but missed the rung. The employee fell 12 - 15 feet from the ladder to the mulch bed resulting in fractures to his left arm, the first two left ribs and left scapula. The employee was hospitalized.",installing a downspout,rich_multi_coded,X,,,,X,,,,,X,X,,
2019088090.0,An employee was using a hose to spray an overhead conveyor while on a six-foot extension ladder. The employee lost balance and their hand became caught in the running conveyor belt. The employee sustained three broken fingers and a partial degloving of the left hand.,spraying overhead conveyor with hose,rich_multi_coded,X,,,,,,X,,X,,X,,
20191111808.0,"An employee was on an 8-foot step ladder wiring an LED light fixture when the employee received an electric shock and fell approximately 6 feet to the floor. The employee was hospitalized with a head contusion, a hematoma to the posterior head with a small abrasion, a thoracic spine compression fracture, blistering to the right index finger, and an avulsion to the left index finger.",wiring an LED light fixture,rich_multi_coded,X,,,,X,,,,X,,X,,
2019088787.0,"An employee was on a ladder installing a nut and bolt overhead when he fell 5 feet off the ladder to the concrete floor, hitting his head and fracturing his skull.",installing a nut and bolt overhead,short_terse,X,,,,X,,,,X,,X,,
2017109853.0,An employee was descending a pigeon hole ladder to transfer from one vessel to another when the employee's right foot was crushed and fractured between the vessels. The employee was hospitalized.,transferring between vessels using pigeon hole ladder,short_terse,,,,,,,,,,,,X,
20191212881.0,"An employee was installing gutters on a two-story residential roof. He fell while moving from the roof to a ladder, landing on a cement floor and suffering a broken arm.",installing gutters on residential roof,short_terse,,X,,,,X,,X,,X,,,
2024032086.0,"An employee was standing on a six-foot A-frame ladder to access a drop ceiling when he lost his balance and fell off the ladder, fracturing his ribs. He was hospitalized. ",accessing drop ceiling,short_terse,X,,,,,,,,X,,,,
2017021016.0,"An employee fell approximately 10 feet while descending a ladder from the roof of a residence. The employee sustained four fractured vertebrae, a fractured wrist and a cut on his head.",descending from roof of residence,short_terse,,X,,,,,,,,X,,,
20241211715.0,"An employee was ascending a 10-foot ladder when the ladder kicked out from under him. He fell approximately 5 feet to the ground, resulting in injuries to both of his legs and feet.",ascending ladder,short_terse,,,,,,,,,,,,,
2021076028.0,An employee was installing fascia with a drill while standing 4 feet above the ground on a fiberglass ladder when they fell onto the concrete below and suffered a broken right wrist.,installing fascia with a drill,short_terse,X,,,,X,,,,,X,X,,
2018021981.0,"A maintenance employee accessed a cooling tower from a fixed ladder. While descending the fixed ladder, the employee fell approximately 6 feet to the roof surface, fracturing the right leg.",accessing cooling tower,short_terse,,X,,,,,,,,X,,X,
2021054310.0,"An employee was on a mobile ladder installing speaker wire. The ladder shifted and the employee fell about 10 feet, suffering a head laceration, a broken leg, and a broken arm.",installing speaker wire,short_terse,X,,,,X,,,,X,,X,,
2016076386.0,An employee was coming down the truck's fixed ladder when his right foot slipped inside of the ladder resulting in a broken right tibia. The employee was admitted to the hospital.,descending from truck,short_terse,,,,,,,,,,,,X,
20201110755.0,"An employee was working from a 16-foot ladder to replace a cable line at a customer's home. The employee fell from the ladder to the asphalt driveway, suffering a broken right femur.",replacing a cable line at a customer's home,short_terse,X,,,,X,,,,,X,,,
2015107659.0,An employee was descending a 3 foot ladder in a retail store when she missed a step and fell to the ground. She was hospitalized overnight with a possible knee fracture.,descending ladder in retail store,short_terse,,,,,,,,,X,,,,
2025010412.0,"On January 13, 2025, an employee was standing on a two-step step ladder while removing lights from a Christmas tree when they fell to the floor, resulting in a broken hip and femur.",removing lights from a Christmas tree,short_terse,X,,,,X,,,,X,,,,
2015118464.0,An employee was standing on the third rung of an A-frame ladder to replace a vent cover when he fell to the ground below and fractured his left ankle. He required surgery.,replacing a vent cover,short_terse,X,,,,X,,,,X,,,,
2022098476.0,"An employee was climbing down an installed ladder from a roof. He fell from the ladder to the floor about 10 feet below, suffering a compound fracture to the right ankle.",climbing down from roof,short_terse,,X,,,,,,,,X,,,
2015118471.0,"As the employee was walking on the second level of a frame and brace scaffold towards the fixed ladder, he slipped on the wet planks and fell 12 feet to the ground resulting in a broken left femur. The planks were wet due to rain.",walking on scaffold toward fixed ladder,clear_task_mechanism,,,,,,,,,,X,,,
2016032156.0,"An employee was using a straight ladder to clean a horizontal coater. The employee slipped while descending the ladder, falling 6 to 8 feet to the cement floor and fracturing a leg. The employee was hospitalized.",cleaning a horizontal coater,clear_task_mechanism,,,,,,,X,,X,,,,
2025021109.0,An employee was descending the ladder on a top stock cart when she slipped on the bottom step and fell to the floor. The employee sustained fractures to her left arm and hip.,descending ladder on stock cart,clear_task_mechanism,,,,,,,,,X,,,,
20201010029.0,An employee was on an 8-foot ladder stalling insulated foam board. The ladder shifted and the employee fell to the ground. The employee was hospitalized for a fractured lower leg.,installing insulated foam board,clear_task_mechanism,,,,,,,,X,,,X,,
20181212816.0,"While transitioning from a ladder to a metal roof, an employee slipped and fell backwards onto gravel. The employee was hospitalized with a broken vertebra and cuts on the hand.",transitioning from ladder to metal roof,clear_task_mechanism,,X,,,,,,,,X,,,
2018010057.0,An employee was descending a carpenter bracket scaffold. The scaffold shifted and the ladder moved causing the employee to lose balance and fall 20 feet. The employee sustained a broken right leg.,descending from carpenter bracket scaffold,clear_task_mechanism,,,,,,,,,,X,,,
2015020266.0,Employee was on a ladder putting up decorations for an upcoming event. Employee was coming down the ladder and missed a rung resulting in a fall to the ground five feet below. Employee fractured the left wrist.,putting up decorations for an upcoming event,clear_task_mechanism,X,,,,,,,,X,,,,
2015118355.0,An employee was working on a crane that was out of service. He went and got a ladder and put the ladder on the spreader bar of the crane. He climbed about 8 to 10 feet up the ladder when it slipped out from under him. He fell and broke his right shoulder.,working on out-of-service crane using ladder positioned on spreader bar,clear_task_mechanism,X,,,,,,,,,,,X,
20181111827.0,"An employee was climbing a ladder when the ladder slipped out from under him. He fell approximately 12 feet to the floor, injuring his right shoulder, right wrist, and right ankle and suffering a right knee laceration.",climbing ladder,clear_task_mechanism,,,,,,,,,X,,,,
2024087597.0,An employee was climbing a ladder to perform a painting task. The employee slipped off the ladder and fell backward to the concrete ground. He struck the back of his head and sustained head trauma.,painting,clear_task_mechanism,,,,,,,,,,,X,,
2018066564.0,"On June 24, 2018, an employee was working in the warehouse to prepare the upcoming week's jobs. He used an extension ladder to try to retrieve a dolly from a box stored on a mezzanine. The ladder slipped out and the employee fell to the floor, breaking his hip and foot. His injuries required surgery and hospitalization.",retrieving a dolly from a box stored on a mezzanine,clear_task_mechanism,,,,,,,,X,X,,,,
2020043183.0,"An employee was working from a ladder to fix a hole in a spout. The ladder slipped and the employee slid down the ladder, catching his thumb on the ladder. The employee sustained a partial amputation to his left thumb.",fixing a hole in a spout,clear_task_mechanism,,,,,X,,,,,,X,,
2018054787.0,"An employee was putting nuts and washers on bolts while standing on an 8-foot A-frame ladder that was in the closed position when the ladder slipped. The employee fell and struck his head on the concrete below, suffering head trauma and a skull fracture.",putting nuts and washers on bolts,clear_task_mechanism,,,,,X,,,,,,X,,
2018087859.0,"An employee was climbing down the ladder of a front-end loader when he slipped on the bottom rung and rolled his foot, falling from the ladder to the ground and fracturing his right ankle.",climbing down from front-end loader,clear_task_mechanism,,,,,,,,,,X,,X,
2016042835.0,"On or about April 5, 2016, at 1:00 p.m., an employee slipped and fell 6 to 8 feet from the fixed industrial ladder to the boiler's eighth elevation platform, suffering compound fractures to the tibia and fibula, as well as metatarsal fractures in both feet. He was hospitalized overnight for surgery.",not specified,clear_task_mechanism,,,,,,,,,X,,,X,
20211211044.0,"An employee was on a ladder on the roof of a service building, attempting to reset a boiler alarm. She lost footing on the ladder and fell approximately 12 feet to the floor below, resulting in a fractured right ankle.",resetting a boiler alarm,conflict_candidates,X,X,X,,,,,,X,,,,
2025054419.0,An employee was climbing an interior fixed ladder to access the roof when they slipped off the ladder rung and fell approximately 10 feet. The employee sustained injuries to both ankles.,climbing fixed ladder to access roof,conflict_candidates,,X,,,,,,,X,,,,
2020099271.0,An employee was climbing an interior ladder to a rooftop. He slipped and fell to the concrete 10-12 feet below. He suffered a broken right hand and right foot and was hospitalized.,climbing interior ladder to access rooftop,conflict_candidates,,X,,,,,,,X,,,,
20241110868.0,"An employee fell from ladder to the ground and sustained multiple injuries. He was climbing from a stairwell platform to access the roof hatch to assess the HVAC unit. The distance from the platform to the roof is 12 feet. As he was climbing through the roof hatch the ladder slid from its position and the employee fell backward, head first onto the ladder that had become wedged between the stairwell walls. His left leg/boot became caught in one of the ladder rungs and he was suspended from the ladder. He managed to free his left foot before landing on the stairwell platform. He was found on the floor, lying on his back with a portion of the ladder on top of him and experienced pain in his left shoulder and left arm.",climbing ladder through roof hatch to assess HVAC unit on roof,conflict_candidates,X,X,,X,,,,,X,,,,
2018054811.0,"An employee was going up a roof hatch ladder when the employee slipped and fell approximately 12 feet to the concrete floor, fracturing the right femur, right pelvis, and multiple ribs.",ascending roof hatch ladder,conflict_candidates,,X,,,,,,,X,,,,
2025010493.0,"An employee was coming off the roof of a department store using a fixed ladder when they fell to the ground below, resulting in injuries to the right side of their body, including their right foot, leg, and arm. The employee was hospitalized and required surgery for the foot injury.",descending from roof of department store,conflict_candidates,,X,,,,,,,X,,,,
2015010682.0,"Employee was at a company site attempting to gain access to the roof ladder via a fixed ladder .  The height of the platform from the ground was 10 ft, 7 in. The employee slipped and fell to the interior concrete floor. The employee broke his wrist, and bone was exposed.",accessing roof ladder via fixed ladder,conflict_candidates,,X,,,,,,,X,,,,
2020054512.0,"An employee was climbing down a roof access hatch ladder. About halfway down, he fell, landing on the ground about 8 feet below. He suffered a broken left femur and was hospitalized.",climbing down from roof access hatch,conflict_candidates,,X,,,,,,,X,,,,
2024087295.0,An employee was returning from lunch and was climbing a 12-foot extension ladder set up on the second floor to access the roof of the second floor. The employee fell approximately 8-9 feet to the floor and was hospitalized with fractured feet.,accessing roof of second floor,conflict_candidates,,X,,,,,,,X,,,,
2023021805.0,"An employee was climbing down from a roof. The roof hatch cover closed, striking the employee and causing him to fall approximately 10 feet from the ladder to the concrete floor. The employee sustained a pelvic fracture.",climbing down from roof via ladder through roof hatch,conflict_candidates,,X,,,,,,,X,,,,
2022065403.0,"On June 21, 2022, at approximately 6:53 a.m., an employee fell from a two-step ladder while pushing boxes and gathering supplies. The employee was hospitalized with a fractured right knee and required surgery.",pushing boxes and gathering supplies,ambiguous_task,,,,,,,,X,X,,,,
2022076356.0,"An employee was stepping from a ladder to an elevated work platform, when they slipped and fell 22 feet to the ground. The employee sustained a fractured right leg that required hospitalization.",stepping from ladder to elevated work platform,ambiguous_task,X,,,,,,,,,,,,
2022054096.0,"An employee was carrying a bucket of paint up a ladder to the third floor of a building when they fell 15-20 feet to the ground below, resulting in a dislocated left shoulder.",carrying paint bucket up ladder to third floor,ambiguous_task,,,,,,,,X,X,,X,,
2017099136.0,"An employee was climbing a structural ladder to access the first landing of a building when his hand slipped and he fell approximately 10 feet to the ground, breaking two vertebrae and his hip.",climbing structural ladder to access first landing of building,ambiguous_task,,,,,,,,,,X,,,
2015118354.0,"An employee placed a ladder on communication strands and began to climb it.  The strand broke, causing him to fall and break three vertebrae in his back. He was hospitalized.",climbing ladder placed on communication strands,ambiguous_task,X,,,,,,,,,X,,,
2025032153.0,An electrician was looking for a route in the ceiling to run new conduit when he fell 8 feet from a ladder to the floor and sustained 7 vertebrae fractures and 5 fractured ribs.,looking for route in ceiling to run new electrical conduit,ambiguous_task,X,,,X,,,,,X,,,,
2020099143.0,"An employee was installing insulation at a customer's house. As he was climbing down an A-frame ladder, it shifted and he fell. His arm was pinned under the ladder and broken.",installing insulation,ambiguous_task,,,,,,,,X,X,,,,
2025043868.0,An employee set up a ladder to investigate a noise onsite. The employee fell from the ladder to the ground and sustained fractures to his left leg and right foot.,investigating a noise,ambiguous_task,,,,X,,,,,,,,,
20211211023.0,"An employee was pulling a window from the second level of some racking while standing on a ladder. He fell from the ladder to the warehouse floor, suffering a broken right wrist.",pulling a window from second level of racking,ambiguous_task,X,,,,,X,,X,X,,X,,
2024010058.0,"An employee fell off a ladder attached to the tanker truck he had been driving. He landed on the ground 8 feet below, suffering fractures to his right foot and wrist.",accessing tanker truck,ambiguous_task,,,,,,,,,,X,,X,
2022065122.0,An employee had been attempting to load a 24-foot extension ladder onto a bucket truck. The employee collapsed at the construction trailer while asking for help loading the ladder. The employee sustained possible heat stroke.,loading 24-foot extension ladder onto bucket truck,coded_environment,,,,,,X,,X,,X,,X,
2019099225.0,"An employee was adjusting a tarp on the trailer of his tractor/trailer combination. He was standing on a catwalk, preparing to exit the fixed ladder, when his foot slipped and he fell approximately 8 feet to the gravel lot surface. He sustained a fractured wrist, fractured ribs, and a cracked pelvis.",adjusting a tarp on a trailer,coded_environment,,,,,X,,,,,X,,X,
2024043095.0,"An employee was climbing a ladder to access a roof. The ladder was on an unstable surface, and when the employee reached the top, the ladder slipped and he fell. He landed on the ground about 20 feet below and suffered a broken back and hip and had no feeling in his leg.",climbing ladder to access roof,coded_environment,,X,,,,,,,,X,,,
2015010981.0,The injured employee was working on the spreader applying dry fertilizer to the field.  He was performing maintenance.  He went up the ladder/staircase to the operator's cab to get the owner's manual.  He lost his balance and fell to the ground.  He was then hospitalized.  ,retrieving owner's manual from operator's cab on spreader,coded_environment,,,,,,,,,,X,,X,
2016076742.0,"An employee was closing and sealing top covers on railcars filled with grain. As the employee descended the railcar ladder, he lost his grip and fell 11 feet to the ground below, fracturing his right tibia and compressing two discs.",closing and sealing top covers on railcars filled with grain,coded_environment,X,,,,,X,,,,X,,X,
2015031162.0,"An employee was inspecting a C-130 aircraft using a 6-foot ladder. While descending the ladder, the employee missed the bottom rung and fell to the floor. The employee sustained a fracture to the right hip and received surgery later that evening.",inspecting C-130 aircraft,coded_environment,,,,X,,,,,,,,X,
2025066047.0,"An employee had just finished fixing a rooftop air conditioning unit. He was stepping from a platform on the roof onto a fixed ladder when the hand rail became dislodged, causing the employee to lose his grip and fall to the ground/concrete. The employee sustained fractures to his left wrist and the left side of his pelvis.",fixing rooftop air conditioning unit,coded_environment,X,X,,,,,,,,X,,,
2021119585.0,"An employee climbed a rolling platform ladder and took down a plastic tube from a surge tank. As the employee was walking down the ladder with the tube, the employee fell off the bottom step and onto his left hip, where he kept his radio unit. The employee suffered a fractured left femur.",removing plastic tube from surge tank,coded_environment,,,,,,X,,,,,X,X,
2022021429.0,"An employee was conducting an inspection of a residential roofing system. The employee climbed up the ladder and reached the roof's landing surface when the ladder broke and the employee fell to the ground, resulting in fractured ribs, a lower back injury, and an injury to the right elbow that required surgery.",inspecting residential roofing system,coded_environment,,X,,X,,,,,,X,,,
2023010401.0,"An employee was using a ladder to access the top of a boiler while being assisted by another employee. The employee on top of the ladder removed the manhole cover from the boiler when residual steam buildup and some hot water contacted both employees, resulting in burns to their necks, backs, arms, and legs.",removing manhole cover from boiler,coded_environment,X,,,,X,,,,,,X,X,
2024021237.0,"An employee was on a ladder while using a pipe wrench to tighten a pipe joint when the wrench slipped and he fell from the ladder to the ground, resulting in a broken collar bone that required hospitalization.",tightening a pipe joint with a pipe wrench,multiple_objects,,,,,,X,,,,,X,,
2015085670.0,An employee was on a ladder conducting telephone cable maintenance with the ladder resting against the telephone pole. The telephone cable broke and the employee fell 23 feet onto the concrete below resulting in broken ribs.,conducting telephone cable maintenance on pole,multiple_objects,X,,,,X,,,,,X,,,
2018010938.0,"Two employees were installing an aerial service wire to a residence. One employee had connected the line at the pole and ran the wire across the road to the residence while a second employee was working on an 8' ladder to connect the wire at the residence. A car then drove over the wire and it became tangled in the undercarriage of the vehicle, pulling the second employee off the ladder. He fell into the bed of the residence's truck, fracturing ribs and suffering hand burns from the wire.",connecting aerial service wire to residence,multiple_objects,X,,,,X,,,,,X,X,,
2018021568.0,An employee was driving a delivery truck and the truck got caught on cable. The employee used a ladder to try and free the cable from the truck. When the tension on the cable was released the employee lost his balance and fell to the ground landing on his heels. Both heels were fractured. One of them required surgery.,freeing caught cable from delivery truck,multiple_objects,,,,,,X,,,,X,,X,
2018055260.0,"An employee was working on an extension ladder that was being held by another employee cutting old wire off a pole. When the line was cut, the wire struck the employee on the ladder causing the employee to fall approximately 14 feet off the ladder. He fell onto a portable toilet and then onto asphalt. The employee sustained a six-inch laceration to the back of the head, broken ribs and fractured vertebrae in his back.",cutting old wire off a pole,multiple_objects,X,,,,X,,,,,X,X,,
2021054161.0,An employee was on top of a ladder pulling network cable through an open ceiling to wire for a security camera. The bottom of the ladder slipped out and the employee fell close to the wall. A large piece of crown molding was sticking out from the wall and the employee hit his head on it as he fell. The employee was rendered unconscious and was hospitalized for a head injury and a laceration above the right eye.,pulling network cable through open ceiling to wire security camera,multiple_objects,X,,,,X,,,,X,,X,,
2016043477.0,"An employee was installing cable and telephone wire from a ladder. While descending the ladder, the employee stepped on a drill bit attached to an electric power drill. The drill bit impaled the employee's calf muscle.",installing cable and telephone wire,multiple_objects,X,,,,X,,,,,,X,,
2024032154.0,"An employee was working from an 8-foot ladder to install a de-energized conduit wire. The employee was pulling wire above a grid ceiling when they experienced an electrical shock and fell from the ladder to floor, resulting in a head laceration in addition to shock injuries.",installing conduit wire above grid ceiling,multiple_objects,X,,,,X,,,,X,,X,,
2023065728.0,An employee was on the second rung of a ladder turning a wrench on a tight pipe. The wrench slipped and the employee fell off the ladder and onto the floor. The employee sustained a left elbow dislocation and possible fracture.,turning a wrench on a tight pipe,multiple_objects,,,,,,X,,,,,X,,
2015129162.0,"On December 3, 2015, at approximately 1:45 pm, an employee fell from an 8-foot fiberglass stepladder. The employee was installing an exterior light on the side of a building using a hammer drill while standing on the stepladder. The employee fell from the ladder and struck the concrete driveway, fracturing both wrists.  The employee was hospitalized for surgery.",installing an exterior light on the side of a building using a hammer drill,multiple_objects,X,,,,X,,,,,X,X,,
2023087246.0,An employee was climbing a 24-foot extension ladder in front of a residential home when he fell to the driveway below. The employee hit his head and sustained a concussion.,not specified,very_sparse,,,,,,,,,,X,,,
2016098687.0,"An employee was sliding an industrial ladder off a truck when his left pinky finger was caught between the end of the ladder and his steel-tip boot, amputating his fingertip.",sliding industrial ladder off a truck,very_sparse,,,,,,X,,X,,X,,X,
2025010921.0,An employee was climbing a ladder when the ladder gave out and he fell to the ground. The employee sustained a broken bone above the tailbone and a broken arm.,not specified,very_sparse,,,,,,,,,,,,,
20241110803.0,"An employee was descending a scaffold ladder when they fell onto a step ladder and then onto the floor. The employee sustained fractures to their L1, L2, and L3 vertebrae.",descending scaffold ladder,very_sparse,,,,,,,,,X,,,,
20161111088.0,"An employee was on a ladder removing a bolt with a wrench when it slipped off the bolt, causing the employee to fall and suffer a compound fracture of the ankle.",removing a bolt with a wrench,very_sparse,,,,,X,,,,,,X,,
2020010502.0,"An employee climbed an extension ladder with a 5-gallon bucket and was traversing from the ladder onto the roof when the employee's hand slipped while reaching for an upper rung. The employee lost hold and fell 18 feet to a lower roof, suffering fractures and a punctured lung.",traversing from ladder to roof with 5-gallon bucket,ladder_type_stated,,X,,,,,,X,,X,X,,
2017099081.0,"An employee was priming bolts in a stairwell while standing on a 6-foot step ladder. He had a paint can in one hand and a paint brush in the other hand. He fell as he was descending the step ladder, breaking two ribs and suffering a collapsed right lung. He was hospitalized.",priming bolts in a stairwell,ladder_type_stated,,,,,X,,,,X,,X,,
2020021146.0,"An employee was on a step ladder changing belts out on an exhaust fan for preventative maintenance when he reached to steady himself and his left pinky finger was caught between the fan's belt and pulley. As a result, his pinky fingertip was amputated. The fan was turned off but still turning at the time of the incident.",changing belts on exhaust fan for preventative maintenance,ladder_type_stated,X,,,,X,,,,X,,,,
2021031936.0,"An employee was working on an extension ladder when the ladder slid out from under him, causing him to fall approximately 8 feet to the floor. The employee sustained fractures to the right leg.",not specified,ladder_type_stated,,,,,,,,,X,,,,
2025066267.0,An employee was on an extension ladder at a site to inspect roof damage. The ladder slipped out from under him and the employee fell to the ground and landed on the ladder. The employee was hospitalized for fractured shoulders. ,inspecting roof damage,ladder_type_stated,X,X,,X,,,,,,X,,,
